ticker,nse_symbol,bse_code,isin,listing_date,delisting_date
EXIDEIND.NS,EXIDEIND,500086,INE302A01020,2010-01-01,2022-12-30
FACT.NS,FACT,590024,INE188A01015,2010-03-05,2022-12-30
FEDERALBNK.NS,FEDERALBNK,500469,INE171A01029,2010-01-01,2022-12-30
FINCABLES.NS,FINCABLES,500144,INE235A01022,2010-01-01,2022-12-30
FINPIPE.NS,FINPIPE,500940,INE183A01024,2010-09-03,2022-12-30
FKONCO.NS,FKONCO,,INE575G01010,2012-04-20,2013-03-01
FLUOROCHEM.NS,FLUOROCHEM,542812,INE09N301011,2020-08-14,2022-12-30
FORCEMOT.NS,FORCEMOT,500033,INE451A01017,2020-02-14,2022-12-30
FORTIS.NS,FORTIS,532843,INE061F01013,2010-01-01,2022-12-30
FSL.NS,FSL,532809,INE684F01012,2010-01-01,2022-12-30
GAIL.NS,GAIL,532155,INE129A01019,2010-01-01,2022-12-30
GARDENSILK.NS,GARDENSILK,,INE526A01016,2010-10-29,2010-12-31
GEODESIC.NS,GEODESIC,,INE371D01029,2010-01-01,2013-01-18
GESHIP.NS,GESHIP,500620,INE017A01032,2010-01-01,2022-12-30
GICRE.NS,GICRE,540755,INE481Y01014,2018-04-20,2022-12-30
GILLETTE.NS,GILLETTE,507815,INE322A01010,2014-01-17,2022-12-30
GLAND.NS,GLAND,543245,INE068V01023,2021-05-14,2022-12-30
GLAXO.NS,GLAXO,500660,INE159A01016,2010-01-01,2022-12-30
GLENMARK.NS,GLENMARK,532296,INE935A01035,2010-01-01,2022-12-30
GLOBOFFS.NS,GLOBOFFS,501848,INE446C01013,2014-09-05,2017-03-17
GMDCLTD.NS,GMDCLTD,532181,INE131A01031,2010-01-01,2022-12-30
GMRAIRPORT.NS,GMRAIRPORT,532754,INE776C01039,2010-01-01,2022-12-30
GODFRYPHLP.NS,GODFRYPHLP,500163,INE260B01028,2014-09-19,2022-12-30
GODREJAGRO.NS,GODREJAGRO,540743,INE850D01014,2018-04-13,2022-12-30
GODREJCP.NS,GODREJCP,532424,INE102D01028,2010-01-01,2022-12-30
GODREJIND.NS,GODREJIND,500164,INE233A01035,2010-01-01,2022-12-30
GODREJPROP.NS,GODREJPROP,533150,INE484J01027,2010-07-02,2022-12-30
GPIL.NS,GPIL,532734,INE177H01039,2010-01-01,2022-12-30
GRANULES.NS,GRANULES,532482,INE101D01020,2012-09-14,2022-12-30
GRAPHITE.NS,GRAPHITE,509488,INE371A01025,2010-01-08,2022-12-30
GRASIM.NS,GRASIM,500300,INE047A01021,2010-01-01,2022-12-30
GRAVITA.NS,GRAVITA,533282,INE024L01027,2011-05-13,2022-12-30
GRSE.NS,GRSE,542011,INE382Z01011,2019-07-19,2022-12-30
GSPL.NS,GSPL,532702,INE246F01010,2010-01-01,2022-12-30
GTOFFSHORE.NS,GTOFFSHORE,,INE892H01017,2010-01-01,2014-12-26
GUJGASLTD.NS,GUJGASLTD,539336,INE844O01030,2016-03-11,2022-12-30
GUJNRECOKE.NS,GUJNRECOKE,,INE110D01013,2010-01-01,2013-02-08
GVT&D.NS,GVT&D,522275,INE200A01026,2010-01-01,2022-05-13
HAL.NS,HAL,541154,INE066F01020,2018-09-28,2022-12-30
HANUNG.NS,HANUNG,,INE648H01013,2010-01-01,2013-01-25
HAPPSTMNDS.NS,HAPPSTMNDS,543227,INE419U01012,2021-03-12,2022-12-30
HAVELLS.NS,HAVELLS,517354,INE176B01034,2010-01-01,2022-12-30
HBLENGINE.NS,HBLENGINE,517271,INE292B01021,2021-11-26,2022-12-30
HCLTECH.NS,HCLTECH,532281,INE860A01027,2010-01-01,2022-12-30
HDFCAMC.NS,HDFCAMC,541729,INE127D01025,2019-02-01,2022-12-30
HDFCBANK.NS,HDFCBANK,500180,INE040A01034,2010-01-01,2022-12-30
HDFCLIFE.NS,HDFCLIFE,540777,INE795G01014,2018-05-11,2022-12-30
HEG.NS,HEG,509631,INE545A01024,2010-01-01,2022-12-30
HEROMOTOCO.NS,HEROMOTOCO,500182,INE158A01026,2010-01-01,2022-12-30
HEXAWARE.NS,HEXAWARE,,INE093A01033,2010-01-08,2020-06-05
HFCL.NS,HFCL,500183,INE548A01028,2011-06-10,2022-12-30
HIGHGROUND.NS,HIGHGROUND,,,2015-06-19,2017-06-02
HINDALCO.NS,HINDALCO,500440,INE038A01020,2010-01-01,2022-12-30
HINDCOPPER.NS,HINDCOPPER,513599,INE531E01026,2010-07-02,2022-12-30
HINDPETRO.NS,HINDPETRO,500104,INE094A01015,2010-01-01,2022-12-30
HINDUNILVR.NS,HINDUNILVR,500696,INE030A01027,2010-01-01,2022-12-30
HINDZINC.NS,HINDZINC,500188,INE267A01025,2010-01-01,2022-12-30
HOCL.NS,HOCL,500449,INE048A01011,2010-02-12,2010-12-10
HOMEFIRST.NS,HOMEFIRST,543259,INE481N01025,2021-07-30,2022-12-30
HONAUT.NS,HONAUT,517174,INE671A01010,2013-01-11,2022-12-30
HSCL.NS,HSCL,500184,INE019C01026,2016-05-20,2022-12-30
HUDCO.NS,HUDCO,540530,INE031A01017,2017-11-10,2022-12-30
ICICIBANK.NS,ICICIBANK,532174,INE090A01021,2010-01-01,2022-12-30
ICICIGI.NS,ICICIGI,540716,INE765G01017,2018-03-23,2022-12-30
ICICIPRULI.NS,ICICIPRULI,540133,INE726G01019,2017-03-24,2022-12-30
IDBI.NS,IDBI,500116,INE008A01015,2010-01-01,2022-12-30
IDEA.NS,IDEA,532822,INE669E01016,2010-01-01,2019-03-15
IDFCFIRSTB.NS,IDFCFIRSTB,539437,INE092T01019,2016-04-29,2022-12-30
IEX.NS,IEX,540750,INE022Q01020,2018-04-20,2022-12-30
IFCI.NS,IFCI,500106,INE039A01010,2010-01-01,2018-04-20
IGL.NS,IGL,532514,INE203G01027,2010-01-15,2022-12-30
IIFL.NS,IIFL,532636,INE530B01024,2010-01-01,2022-12-30
INDHOTEL.NS,INDHOTEL,500850,INE053A01029,2010-01-01,2022-12-30
INDIACEM.NS,INDIACEM,530005,INE383A01012,2010-01-01,2022-12-30
INDIAMART.NS,INDIAMART,542726,INE933S01016,2019-12-27,2022-12-30
INDIANB.NS,INDIANB,532814,INE562A01011,2010-01-01,2022-12-30
INDIGO.NS,INDIGO,539448,INE646L01027,2016-05-06,2022-12-30
INDUSINDBK.NS,INDUSINDBK,532187,INE095A01012,2010-01-01,2022-12-30
INDUSTOWER.NS,INDUSTOWER,534816,INE121J01017,2013-06-21,2022-12-30
INFINITE.NS,INFINITE,,INE486J01014,2010-07-30,2018-12-14
INFY.NS,INFY,500209,INE009A01021,2010-01-01,2022-12-30
INOXWIND.NS,INOXWIND,539083,INE066P01011,2015-10-02,2022-12-30
INTELLECT.NS,INTELLECT,538835,INE306R01017,2015-06-12,2022-12-30
IOB.NS,IOB,532388,INE565A01014,2010-01-01,2022-12-30
IOC.NS,IOC,530965,INE242A01010,2010-01-01,2022-12-30
IPCALAB.NS,IPCALAB,524494,INE571A01038,2010-01-15,2022-12-30
IRB.NS,IRB,532947,INE821I01022,2010-01-01,2022-12-30
IRCON.NS,IRCON,541956,INE962Y01021,2019-03-22,2022-12-30
IRCTC.NS,IRCTC,542830,INE335Y01020,2020-04-10,2022-12-30
IRFC.NS,IRFC,543257,INE053F01010,2021-07-23,2022-12-30
ITC.NS,ITC,500875,INE154A01025,2010-01-01,2022-12-30
ITI.NS,ITI,523610,INE248A01017,2010-01-01,2022-12-30
J&KBANK.NS,J&KBANK,532209,INE168A01041,2010-01-01,2022-12-30
JAIHINDPRO.NS,JAIHINDPRO,,INE343D01010,2010-06-18,2010-10-29
JBCHEPHARM.NS,JBCHEPHARM,506943,INE572A01036,2010-07-02,2022-12-30
JBMA.NS,JBMA,532605,INE927D01051,2014-11-28,2022-12-30
JINDALSAW.NS,JINDALSAW,500378,INE324A01032,2010-01-01,2022-12-30
JINDALSTEL.NS,JINDALSTEL,532286,INE749A01030,2010-01-01,2022-12-30
JKCEMENT.NS,JKCEMENT,532644,INE823G01014,2010-03-05,2022-12-30
JKTYRE.NS,JKTYRE,530007,INE573A01042,2010-01-01,2022-12-30
JMFINANCIL.NS,JMFINANCIL,523405,INE780C01023,2010-07-02,2022-12-30
JMTAUTOLTD.NS,JMTAUTOLTD,,INE988E01036,2015-10-30,2016-11-25
JPPOWER.NS,JPPOWER,532627,INE351F01018,2010-01-01,2014-07-18
JSL.NS,JSL,532508,INE220G01021,2010-01-01,2022-12-30
JSWENERGY.NS,JSWENERGY,533148,INE121E01018,2010-07-02,2022-12-30
JSWSTEEL.NS,JSWSTEEL,500228,INE019A01038,2010-01-01,2022-12-30
JUBLFOOD.NS,JUBLFOOD,533155,INE797F01020,2010-08-06,2022-12-30
JUBLINGREA.NS,JUBLINGREA,543271,INE0BY001018,2021-09-10,2022-12-30
JUBLPHARMA.NS,JUBLPHARMA,530019,INE700A01033,2010-01-01,2022-12-30
JVLAGRO.NS,JVLAGRO,,INE430G01026,2010-06-11,2018-04-20
JWL.NS,JWL,533272,INE209L01016,2012-06-22,2022-12-30
JYOTHYLAB.NS,JYOTHYLAB,532926,INE668F01031,2010-02-26,2022-12-30
KAJARIACER.NS,KAJARIACER,500233,INE217B01036,2010-09-24,2022-12-30
KALYANKJIL.NS,KALYANKJIL,543278,INE303R01014,2021-09-17,2022-12-30
KARURVYSYA.NS,KARURVYSYA,590003,INE036D01028,2010-01-01,2022-12-30
KEC.NS,KEC,532714,INE389H01022,2010-01-29,2022-12-30
KEI.NS,KEI,517569,INE878B01027,2015-01-30,2022-12-30
KEMROCK.NS,KEMROCK,,,2010-06-04,2011-01-21
KFA.NS,KFA,,,2010-01-01,2012-03-16
KIMS.NS,KIMS,543308,INE967H01025,2021-12-24,2022-12-30
KIRLOSBROS.NS,KIRLOSBROS,500241,INE732A01036,2016-09-02,2022-12-30
KIRLOSENG.NS,KIRLOSENG,533293,INE146L01010,2010-01-15,2022-12-30
KOTAKBANK.NS,KOTAKBANK,500247,INE237A01028,2010-01-01,2022-12-30
KOUTONS.NS,KOUTONS,,INE406I01014,2010-01-01,2011-02-18
KPIL.NS,KPIL,522287,INE220B01022,2021-11-26,2022-12-30
KPITTECH.NS,KPITTECH,542651,INE04I401011,2019-10-18,2022-12-30
KPRMILL.NS,KPRMILL,532889,INE930H01031,2014-07-11,2022-12-30
KSB.NS,KSB,500249,INE999A01023,2014-06-13,2022-12-30
KWALITY.NS,KWALITY,,INE775B01025,2010-01-08,2018-09-14
LAKSHVILAS.NS,LAKSHVILAS,,INE694C01018,2010-01-29,2019-11-22
LALPATHLAB.NS,LALPATHLAB,539524,INE600L01024,2016-06-17,2022-12-30
LATENTVIEW.NS,LATENTVIEW,543398,INE0I7C01011,2022-05-20,2022-12-30
LAURUSLABS.NS,LAURUSLABS,540222,INE947Q01028,2017-06-16,2022-12-30
LEMONTREE.NS,LEMONTREE,541233,INE970X01018,2018-10-05,2022-12-30
LICHSGFIN.NS,LICHSGFIN,500253,INE115A01026,2010-01-01,2022-12-30
LICI.NS,LICI,543526,INE0J1Y01017,2022-11-11,2022-12-30
LINDEINDIA.NS,LINDEINDIA,523457,INE473A01011,2010-08-13,2022-12-30
LITL.NS,LITL,,INE785C01048,2010-01-01,2012-03-09
LODHA.NS,LODHA,543287,INE670K01029,2021-10-15,2022-12-30
LT.NS,LT,500510,INE018A01030,2010-01-01,2022-12-30
LTF.NS,LTF,533519,INE498L01015,2012-02-03,2022-12-30
LTFOODS.NS,LTFOODS,532783,INE818H01020,2021-11-26,2022-12-30
LTIM.NS,LTIM,,INE214T01019,2017-01-13,2022-12-30
LTTS.NS,LTTS,540115,INE010V01017,2017-03-17,2022-12-30
LUPIN.NS,LUPIN,500257,INE326A01037,2010-01-01,2022-12-30
M&M.NS,M&M,500520,INE101A01026,2010-01-01,2022-12-30
M&MFIN.NS,M&MFIN,532720,INE774D01024,2010-01-01,2022-12-30
